Тверь;43.742327999999866;65.1800519999995
Москва;-45.52539600000014;-77.10192000000032
Пушкино;-29.19907200000009;-96.5972280000003
Сергиев Посад;-3.3245519999998976;-118.74567600000029
Владимир;-17.551128000000034;-310.01082000000036
Суздаль;6.185340000000252;-315.5479320000001
Ростов;71.14984800000022;-224.85909599999974
Александров;4.338600000000183;-167.6092320000006
Киржач;-15.805691999999652;-180.9906000000003
Переславль-Залесский;34.35255600000025;-181.76566799999995
Кашин;84.62302799999972;-72.4077480000002
Дубна;33.212087999999824;-34.3401240000006
Клин;-0.2753520000001401;1.1896920000002922
Солнечногорск;-13.36717200000035;-21.8815799999999
Дмитров;0.23696399999977305;-65.02490400000028
Зеленоград;-30.130631999999732;-38.723664000000134
Талдом;32.22038400000042;-67.56279599999996
